Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Correa, Nicolás",DEF,Arsenal FC,2500000,6,6,4,7,5,3,0,0,0,0,0,0,0,0,0,5,19,3.8,7,31,4.43,0,0,0,0,0,0,0,1,0,1,0,0
"Curado, Marcos",DEF,Arsenal FC,400,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3,17,5.67,3,17,5.67,0,0,0,0,0,0,0,2,1,0,0,0
"Curbelo, Jorge",DEF,Arsenal FC,3300000,5,3,5,7,4,0,4,5,5,3,4,4,2,0,5,11,48,4.36,13,56,4.31,0,0,0,0,0,0,0,3,5,0,0,0
"Pérez, Damián",DEF,Arsenal FC,3400000,5,3,5,8,14,4,5,5,0,0,3,4,5,5,7,11,65,5.91,13,73,5.62,1,1,0,0,0,0,0,3,4,0,0,0
"Rosero Valencia, Dany",DEF,Arsenal FC,2700000,0,6,4,5,5,0,0,0,0,0,1,0,0,7,5,7,27,3.86,8,33,4.13,0,0,0,0,0,0,0,4,2,2,0,0
"San Román, José",DEF,Arsenal FC,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarulyte, Matías",DEF,Arsenal FC,3500000,0,0,0,0,0,1,5,0,0,0,0,6,15,8,8,6,43,7.17,6,43,7.17,1,1,0,0,0,0,0,2,1,0,0,0
"Varga, Iván",DEF,Arsenal FC,1200000,4,0,0,0,0,3,4,5,7,4,5,0,0,0,0,6,28,4.67,7,32,4.57,0,0,0,0,0,0,0,1,1,0,0,0
"Zaldivia, Matías",DEF,Arsenal FC,2600000,6,4,0,7,4,1,0,5,8,3,5,0,0,0,0,7,33,4.71,9,43,4.78,0,0,0,0,0,0,0,3,3,0,0,0
"Bareiro, Ezequiel",VOL,Arsenal FC,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campos Toro, Matías",VOL,Arsenal FC,2300000,0,0,4,4,5,5,5,3,6,0,0,5,0,0,0,8,37,4.63,8,37,4.63,0,0,0,0,0,0,0,0,1,0,0,0
"Cardozo, Julián",VOL,Arsenal FC,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrera, Ramiro",VOL,Arsenal FC,2300000,6,3,12,3,24,4,6,0,0,6,5,1,2,0,4,11,67,6.09,13,76,5.85,3,3,0,0,0,0,1,0,5,1,0,0
"Chávez, Cristian",VOL,Arsenal FC,4500000,3,5,0,0,0,5,0,3,6,2,0,5,5,0,0,6,26,4.33,8,34,4.25,0,0,0,0,0,0,0,0,3,0,0,0
"Esmerado, Gastón",VOL,Arsenal FC,1800000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Flores, Gabriel",VOL,Arsenal FC,300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Fredes, Hernán",VOL,Arsenal FC,3800000,0,6,4,5,0,0,6,0,0,0,3,0,0,0,5,5,23,4.6,6,29,4.83,0,0,0,0,0,0,0,0,1,0,0,0
"Giménez, Gonzalo",VOL,Arsenal FC,300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Godoy, Leandro",VOL,Arsenal FC,500,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,3,12,4,3,12,4,0,0,0,0,0,0,0,0,1,0,0,0
"Marcone, Iván",VOL,Arsenal FC,3500000,5,6,5,10,5,4,5,3,4,3,3,4,5,5,6,13,62,4.77,15,73,4.87,0,0,0,0,0,0,1,0,4,0,0,0
"Milo, Federico",VOL,Arsenal FC,900,0,0,0,0,5,0,0,0,7,2,0,0,5,4,0,5,23,4.6,5,23,4.6,0,0,0,0,0,0,0,0,1,0,0,0
"Ruiz, Ezequiel",VOL,Arsenal FC,300,0,0,0,0,0,0,0,0,12,4,4,0,0,0,0,3,20,6.67,3,20,6.67,1,1,0,0,0,0,0,0,0,0,0,0
"Zaldívar, Matías",VOL,Arsenal FC,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burzio, Pablo",DEL,Arsenal FC,2600000,0,7,6,3,6,5,5,4,6,5,0,4,0,5,0,10,49,4.9,11,56,5.09,0,0,0,0,0,0,0,0,0,0,0,0
"Ciaccheri, Esteban",DEL,Arsenal FC,1400000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Costa, Franco",DEL,Arsenal FC,400,0,0,0,0,0,0,0,5,0,0,0,4,0,5,0,3,14,4.67,3,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0
"Herrera, Maximiliano",DEL,Arsenal FC,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muñoz, Fabián",DEL,Arsenal FC,3400000,4,5,5,4,6,5,0,0,5,4,0,0,4,5,4,9,42,4.67,11,51,4.64,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh, Lucas",DEL,Arsenal FC,500,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0
"Rasic, Federico",DEL,Arsenal FC,3500000,5,3,0,0,0,0,0,0,0,0,0,0,4,10,4,3,18,6,5,26,5.2,1,0,1,0,0,0,0,0,0,0,0,0
"Silva, Santiago",DEL,Arsenal FC,5000000,12,3,2,0,0,5,6,10,20,6,5,3,5,4,0,10,66,6.6,12,81,6.75,4,4,0,2,0,0,1,0,4,0,0,0
"Zelaya, Emilio",DEL,Arsenal FC,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conde, Esteban",ARQ,Atlético de Rafaela,3600000,3,-1,5,5,3,0,0,0,0,3,4,5,3,-1,9,9,36,4,11,38,3.45,0,0,0,0,19,0,0,1,1,0,0,0
"De Giorgi, Carlos",ARQ,Atlético de Rafaela,2200000,0,0,0,0,0,10,15,6,4,0,0,0,0,0,0,4,35,8.75,4,35,8.75,0,0,0,0,3,0,2,1,0,0,0,0
"Rosetti, Guido",ARQ,Atlético de Rafaela,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Werner, Axel",ARQ,Atlético de Rafaela,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canavessio, Nicolás",DEF,Atlético de Rafaela,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombo, Rodrigo",DEF,Atlético de Rafaela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Del Grecco, Nicolás",DEF,Atlético de Rafaela,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Díaz Pena, Martín",DEF,Atlético de Rafaela,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eluchans, Juan",DEF,Atlético de Rafaela,3600000,5,0,0,0,10,8,7,5,4,2,5,6,2,7,6,11,62,5.64,12,67,5.58,2,0,2,1,0,0,0,2,3,0,0,0
"Godoy, Leonardo",DEF,Atlético de Rafaela,300,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Gómez, Mauricio",DEF,Atlético de Rafaela,2500000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Kruspzky, Lucas",DEF,Atlético de Rafaela,2700000,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3.5,0,0,0,0,0,0,0,0,1,0,0,0
"Niz, Alexis",DEF,Atlético de Rafaela,3000000,0,0,3,3,5,5,7,3,4,16,5,5,5,5,7,13,73,5.62,14,73,5.21,1,1,0,1,0,1,0,2,4,0,0,0
"Ré, Germán",DEF,Atlético de Rafaela,3500000,5,4,5,6,4,6,8,4,5,4,5,6,5,6,5,13,69,5.31,15,78,5.2,0,0,0,0,0,0,0,2,1,0,0,0
"Sacks, Joel",DEF,Atlético de Rafaela,3100000,4,3,5,5,0,0,0,0,0,0,6,4,4,4,7,7,35,5,9,42,4.67,0,0,0,0,0,0,0,1,1,0,0,0
"Sánchez, Sebastián",DEF,Atlético de Rafaela,1300000,0,1,0,0,0,7,5,0,0,0,0,0,0,0,0,2,12,6,3,13,4.33,0,0,0,0,0,0,0,2,2,0,0,0
"Bastía, Adrián",VOL,Atlético de Rafaela,3500000,6,2,6,16,3,0,0,5,6,5,5,6,5,6,18,12,81,6.75,14,89,6.36,2,2,0,0,0,0,2,0,3,1,0,0
"Depetris, Rodrigo",VOL,Atlético de Rafaela,3200000,0,4,4,4,4,0,4,0,6,0,0,6,11,4,0,8,43,5.38,9,47,5.22,1,1,0,0,0,0,0,0,0,0,0,0
"Fernández, Guillermo",VOL,Atlético de Rafaela,3400000,5,7,4,5,0,0,0,0,0,4,5,0,0,0,0,4,18,4.5,6,30,5,1,0,1,0,0,0,0,0,1,0,0,0
"Ferreyra, Osmar",VOL,Atlético de Rafaela,2300000,0,0,0,0,0,0,0,2,5,4,5,5,4,6,4,8,35,4.38,8,35,4.38,0,0,0,0,0,0,0,0,1,0,0,0
"Fissore, Matías",VOL,Atlético de Rafaela,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaitán, Pablo",VOL,Atlético de Rafaela,1600000,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0
"Marino, Guillermo",VOL,Atlético de Rafaela,3800000,5,4,0,0,4,0,0,0,0,0,12,3,5,4,4,6,32,5.33,8,41,5.13,1,1,0,0,0,0,0,0,2,0,0,0
"Montiel, Diego",VOL,Atlético de Rafaela,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morales, Dimas",VOL,Atlético de Rafaela,2000000,0,4,5,6,5,6,4,0,0,0,6,4,0,0,4,8,40,5,9,44,4.89,0,0,0,0,0,0,0,0,0,0,0,0
"Morales, Gabriel",VOL,Atlético de Rafaela,300,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,7,3.5,2,7,3.5,1,1,0,1,0,0,0,0,1,0,0,0
"Rodríguez Rojas, Germán",VOL,Atlético de Rafaela,2000000,0,0,0,5,0,6,5,4,0,0,5,4,0,0,4,7,33,4.71,7,33,4.71,0,0,0,0,0,0,0,0,0,0,0,0
"Serrano, Walter",VOL,Atlético de Rafaela,2900000,5,4,0,0,4,3,3,4,5,4,5,19,5,4,6,12,62,5.17,14,71,5.07,1,1,0,1,0,0,1,0,3,1,0,0
"González, Federico",DEL,Atlético de Rafaela,4100000,6,5,4,5,2,5,5,5,4,6,13,5,3,12,9,13,78,6,15,89,5.93,3,2,1,1,0,0,1,0,3,0,0,0
"Jominy, Franco",DEL,Atlético de Rafaela,500,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,3,20,6.67,3,20,6.67,1,1,0,0,0,0,0,0,0,0,0,0
"Orsini, Nicolás",DEL,Atlético de Rafaela,2000000,4,4,0,0,0,0,0,0,6,5,0,0,0,0,0,2,11,5.5,4,19,4.75,0,0,0,0,0,0,0,0,0,0,0,0
"Pusetto, Ignacio",DEL,Atlético de Rafaela,800,0,0,5,6,3,5,6,11,6,0,0,0,0,13,6,9,61,6.78,9,61,6.78,1,1,0,1,0,0,1,0,1,0,0,0
"Quiroga, Mauro",DEL,Atlético de Rafaela,1500000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Sosa, Sergio",DEL,Atlético de Rafaela,1800000,5,4,0,0,5,4,4,0,0,0,0,0,0,0,0,3,13,4.33,5,22,4.4,0,0,0,0,0,0,0,0,0,0,0,0
"Altamirano, Facundo",ARQ,Banfield,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bologna, Enrique",ARQ,Banfield,3500000,4,6,8,5,3,4,9,5,4,5,0,0,0,5,9,10,57,5.7,12,67,5.58,0,0,0,0,11,0,0,3,0,0,0,0
"Pellegrino, Fernando",ARQ,Banfield,2500000,0,0,0,0,0,0,0,0,0,1,5,8,2,0,0,4,16,4,4,16,4,0,0,0,0,7,0,0,1,0,0,0,0
"Bettini, Gonzalo",DEF,Banfield,2800000,8,4,7,4,0,0,0,0,0,0,0,0,0,0,0,2,11,5.5,4,23,5.75,0,0,0,0,0,0,0,2,1,0,0,0
"Bianchi Arce, Nicolás",DEF,Banfield,3200000,2,6,7,4,4,5,7,5,4,3,4,8,5,5,6,13,67,5.15,15,75,5,0,0,0,0,0,0,0,4,2,0,0,0
"Civelli, Luciano",DEF,Banfield,3400000,2,17,7,1,4,5,8,6,6,5,5,9,5,6,7,13,74,5.69,15,93,6.2,1,1,0,1,0,0,0,4,2,0,0,0
"Devaca, José",DEF,Banfield,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Díaz, Cristian",DEF,Banfield,3800000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0
"Noguera, Fabián",DEF,Banfield,3000000,0,6,4,0,5,0,0,0,7,4,0,20,2,6,6,8,54,6.75,9,60,6.67,1,1,0,1,0,0,0,4,3,0,0,0
"Rodríguez, Jorge",DEF,Banfield,600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Tevez, Nicolás",DEF,Banfield,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vittor, Sergio",DEF,Banfield,3000000,5,4,5,4,4,6,8,12,2,0,6,7,3,0,0,10,57,5.7,12,66,5.5,0,0,0,0,0,0,1,4,4,1,0,0
"Abelairas, Matías",VOL,Banfield,3700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bertolo, Nicolás",VOL,Banfield,4200000,6,20,5,6,7,6,18,5,4,0,3,5,8,7,4,12,78,6.5,14,104,7.43,3,2,1,1,0,0,2,0,1,0,0,0
"Calzada, Maximiliano",VOL,Banfield,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,7,3.5,2,7,3.5,0,0,0,0,0,0,0,0,2,0,0,0
"Cazares, Juan",VOL,Banfield,4000000,6,6,5,5,12,20,7,6,4,6,5,5,6,6,0,12,87,7.25,14,99,7.07,1,1,0,1,0,0,2,0,0,0,0,0
"Cecchini, Emanuel",VOL,Banfield,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domingo, Nicolás",VOL,Banfield,4100000,4,8,6,2,4,4,7,5,5,5,2,6,4,4,6,13,60,4.62,15,72,4.8,0,0,0,0,0,0,0,0,5,0,0,0
"Erviti, Walter",VOL,Banfield,4800000,3,7,3,5,6,3,7,6,3,4,5,0,0,0,0,9,42,4.67,11,52,4.73,0,0,0,0,0,0,0,0,4,0,0,0
"Remedi, Eric",VOL,Banfield,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Requena, Jonathan",VOL,Banfield,2100000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,9,4.5,2,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0
"Rossi, Iván",VOL,Banfield,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yeri, Nahuel",VOL,Banfield,2300000,0,0,5,0,0,4,5,5,5,4,5,6,5,4,6,11,54,4.91,11,54,4.91,0,0,0,0,0,0,0,0,2,0,0,0
"Asenjo, Mauricio",DEL,Banfield,1500000,0,0,0,0,0,0,0,0,10,4,10,0,4,0,6,5,34,6.8,5,34,6.8,2,2,0,0,0,0,0,0,1,0,0,0
"Chetti, Leandro",DEL,Banfield,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuero, Mauricio",DEL,Banfield,2200000,7,13,10,4,10,6,7,5,4,12,7,18,6,18,12,13,119,9.15,15,139,9.27,5,5,0,4,0,0,4,0,0,0,0,0
"Noir, Ricardo",DEL,Banfield,4200000,4,12,0,2,10,4,7,12,-1,0,0,13,5,0,0,8,52,6.5,10,68,6.8,4,4,0,3,0,0,0,0,1,1,0,0
"Trinidad, Enzo",DEL,Banfield,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viatri, Lucas",DEL,Banfield,4500000,5,6,4,4,0,12,0,0,5,4,4,0,0,6,4,8,43,5.38,10,54,5.4,2,2,0,2,0,0,0,0,0,0,0,0
"Villagra, Claudio",DEL,Banfield,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acosta, Lucas Mauricio",ARQ,Belgrano de Cba,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heredia, Pablo",ARQ,Belgrano de Cba,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olave, Juan Carlos",ARQ,Belgrano de Cba,4500000,3,8,2,1,5,5,9,5,5,7,6,9,2,5,10,13,71,5.46,15,82,5.47,0,0,0,0,11,0,0,5,4,0,0,0
"Alvarez, Federico",DEF,Belgrano de Cba,1200000,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,10,5,2,10,5,0,0,0,0,0,0,0,1,1,0,0,0
"Barrios, Pier",DEF,Belgrano de Cba,2900000,1,0,5,0,0,0,0,6,0,0,0,0,0,5,8,4,24,6,5,25,5,0,0,0,0,0,0,0,2,0,2,0,0
"Escudero, Sergio",DEF,Belgrano de Cba,3200000,16,7,12,4,3,16,6,0,6,9,3,0,0,4,5,10,68,6.8,12,91,7.58,3,3,0,1,0,0,0,4,6,1,0,0
"Ferreyra, Nicolás",DEF,Belgrano de Cba,800,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,2,7,3.5,2,7,3.5,0,0,0,0,0,0,0,0,1,0,0,0
"Lema, Cristian",DEF,Belgrano de Cba,2400000,5,5,3,6,2,3,7,0,6,6,5,5,3,0,0,10,46,4.6,12,56,4.67,0,0,0,0,0,0,0,4,7,1,0,0
"Pérez, Claudio",DEF,Belgrano de Cba,2700000,5,8,6,12,5,5,4,17,4,7,6,8,2,0,3,12,79,6.58,14,92,6.57,2,1,1,2,0,0,0,5,2,1,2,0
"Saravia, Renzo",DEF,Belgrano de Cba,2500000,6,2,0,5,5,6,9,5,11,8,5,6,2,4,5,12,71,5.92,14,79,5.64,0,0,0,0,0,1,1,5,2,1,0,0
"Turus, Gastón",DEF,Belgrano de Cba,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alanis, Gabriel",VOL,Belgrano de Cba,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cochis, Germán",VOL,Belgrano de Cba,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Etevenaux, Iván",VOL,Belgrano de Cba,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Farré, Guillermo",VOL,Belgrano de Cba,4400000,4,3,6,4,6,6,7,3,6,4,0,7,6,5,3,12,63,5.25,14,70,5,0,0,0,0,0,0,0,0,6,0,0,0
"González, Esteban",VOL,Belgrano de Cba,4300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mansanelli, César",VOL,Belgrano de Cba,3400000,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,2,10,5,3,15,5,0,0,0,0,0,0,0,0,0,0,0,0
"Parodi, Lucas",VOL,Belgrano de Cba,1800000,5,5,0,0,0,5,5,6,0,4,4,0,0,3,4,7,31,4.43,9,41,4.56,0,0,0,0,0,0,0,0,3,0,0,0
"Prediger, Sebastián",VOL,Belgrano de Cba,3300000,6,5,7,6,0,0,0,0,6,5,6,8,3,4,5,10,50,5,12,61,5.08,0,0,0,0,0,0,0,0,3,1,0,0
"Rigoni, Emiliano",VOL,Belgrano de Cba,2400000,5,5,4,20,4,5,5,28,5,5,5,13,5,5,0,12,104,8.67,14,114,8.14,4,4,0,3,0,0,2,0,0,0,0,0
"Velázquez, Jorge",VOL,Belgrano de Cba,4500000,5,0,0,0,0,4,11,6,11,0,4,8,4,3,5,9,56,6.22,10,61,6.1,2,2,0,0,0,0,0,0,3,0,0,0
"Zelarayán, Lucas",VOL,Belgrano de Cba,5000000,18,6,4,7,5,6,5,0,6,5,20,18,2,6,11,12,95,7.92,14,119,8.5,3,3,0,1,0,0,4,0,2,0,0,0
"Bengtson, Jerry",DEL,Belgrano de Cba,2000000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,1,1,0,0
"Luján, Nahuel",DEL,Belgrano de Cba,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Márquez, Fernando",DEL,Belgrano de Cba,3300000,6,6,1,5,5,16,16,5,5,6,4,5,4,6,0,12,78,6.5,14,90,6.43,2,2,0,1,0,0,2,0,2,0,0,0
"Obolo, Mauro",DEL,Belgrano de Cba,4700000,10,4,4,4,4,5,1,4,10,9,5,6,4,5,6,13,67,5.15,15,81,5.4,3,3,0,0,0,0,0,0,2,0,0,0
"Valdemarín, Joel",DEL,Belgrano de Cba,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orion, Agustín",ARQ,Boca Juniors,5800000,6,2,0,5,2,-1,0,0,0,0,9,0,3,3,9,7,30,4.29,9,38,4.22,0,0,0,0,9,0,0,3,1,2,0,0
"Sara, Guillermo",ARQ,Boca Juniors,3500000,0,10,11,0,0,0,9,7,9,6,0,4,0,0,0,6,46,7.67,7,56,8,0,0,0,0,2,0,0,5,2,0,0,0
"Trípodi, Emanuel",ARQ,Boca Juniors,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burdisso, Guillermo",DEF,Boca Juniors,3700000,5,8,0,0,0,0,0,0,0,0,8,22,0,0,0,2,30,15,4,43,10.75,1,1,0,1,0,0,1,2,0,0,0,0
"Díaz, Daniel",DEF,Boca Juniors,5600000,7,8,10,6,20,6,9,9,12,5,7,0,5,4,22,12,115,9.58,14,130,9.29,2,2,0,0,0,0,3,7,3,0,0,0
"Komar, Juan Cruz",DEF,Boca Juniors,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magallán, Lisandro",DEF,Boca Juniors,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marín, Leandro",DEF,Boca Juniors,2800000,0,9,0,6,0,4,0,7,0,0,0,0,0,0,0,3,17,5.67,4,26,6.5,0,0,0,0,0,0,0,2,0,0,0,0
"Monzón, Luciano",DEF,Boca Juniors,3000000,5,5,7,0,5,0,0,0,0,0,7,6,1,3,0,6,29,4.83,8,39,4.88,0,0,0,0,0,0,0,3,3,0,0,0
"Peruzzi, Gino",DEF,Boca Juniors,4000000,0,0,0,0,6,4,8,7,7,3,8,0,4,5,0,9,52,5.78,9,52,5.78,0,0,0,0,0,0,0,4,1,0,0,0
"Rolín, Alexis",DEF,Boca Juniors,3200000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,2,13,6.5,2,13,6.5,0,0,0,0,0,0,0,1,0,0,0,0
"Torsiglieri, Marco",DEF,Boca Juniors,3800000,6,0,8,6,6,3,9,8,8,6,0,0,3,6,0,10,63,6.3,11,69,6.27,0,0,0,0,0,0,0,4,2,0,0,0
"Bentancur, Rodrigo",VOL,Boca Juniors,600,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,3,15,5,3,15,5,0,0,0,0,0,0,0,0,1,0,0,0
"Bravo, Federico",VOL,Boca Juniors,2200000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Carrizo, Federico",VOL,Boca Juniors,4200000,4,0,5,0,0,4,6,5,5,15,6,0,4,0,5,9,55,6.11,10,59,5.9,1,1,0,1,0,0,0,0,0,0,0,0
"Castellani, Gonzalo",VOL,Boca Juniors,3000000,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,2,8,4,2,8,4,0,0,0,0,0,0,0,0,1,0,0,0
"Colazo, Nicolás",VOL,Boca Juniors,3600000,0,6,0,5,5,3,6,6,6,5,0,0,0,5,6,9,47,5.22,10,53,5.3,0,0,0,0,0,0,0,0,1,0,0,0
"Cristaldo, Franco",VOL,Boca Juniors,800,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,2,17,8.5,2,17,8.5,1,1,0,0,0,0,0,0,0,0,0,0
"Cubas, Adrián Andrés",VOL,Boca Juniors,1100000,7,12,0,0,0,0,0,0,0,5,6,0,0,0,0,2,11,5.5,4,30,7.5,0,0,0,0,0,0,1,0,0,0,0,0
"Erbes, Cristian",VOL,Boca Juniors,3500000,0,0,0,5,3,3,13,6,0,0,0,0,0,0,5,6,35,5.83,6,35,5.83,1,1,0,0,0,0,0,0,3,0,0,0
"Fuenzalida, José",VOL,Boca Juniors,3300000,5,0,6,0,6,0,0,0,0,0,0,5,0,0,5,4,22,5.5,5,27,5.4,0,0,0,0,0,0,0,0,0,0,0,0
