Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Guerra, Claudio",DEL,Unión de Santa Fe,2700000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,6,3,2,6,3,0,0,0,0,0,0,0,0,1,0,0,0
"Soldano, Franco",DEL,Unión de Santa Fe,900,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,10,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0
"Tarquini, Jonatan",DEL,Unión de Santa Fe,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triverio, Enrique",DEL,Unión de Santa Fe,2900000,10,11,10,5,4,11,-1,0,0,31,4,19,6,0,0,10,89,8.9,12,110,9.17,9,7,2,5,0,0,2,0,2,2,0,0
"Aguerre, Alan",ARQ,Vélez Sarsfield,2300000,0,0,0,0,0,0,0,5,5,5,3,4,6,16,8,8,52,6.5,8,52,6.5,0,0,0,0,10,0,1,1,2,0,0,2
"Sosa, Sebastián",ARQ,Vélez Sarsfield,4500000,8,5,9,4,3,3,3,0,0,0,0,0,0,0,0,5,22,4.4,7,35,5,0,0,0,0,7,0,0,2,0,0,0,0
"Yordan, Gonzalo",ARQ,Vélez Sarsfield,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amor, Emiliano",DEF,Vélez Sarsfield,800,3,0,5,5,3,15,4,20,3,6,4,0,3,6,2,13,76,5.85,14,79,5.64,2,2,0,0,0,0,1,3,7,2,0,0
"Cardozo, Facundo",DEF,Vélez Sarsfield,1800000,8,6,0,0,0,0,0,3,6,3,4,0,0,7,0,5,23,4.6,7,37,5.29,0,0,0,0,0,0,0,3,3,0,0,0
"Cubero, Fabián",DEF,Vélez Sarsfield,4000000,6,10,7,2,5,7,2,6,4,3,4,3,1,18,5,13,67,5.15,15,83,5.53,1,1,0,0,0,0,1,4,5,2,0,0
"Giannetti, Lautaro",DEF,Vélez Sarsfield,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grillo, Lautaro",DEF,Vélez Sarsfield,800,0,0,4,0,3,2,5,0,0,0,6,3,4,0,12,8,39,4.88,8,39,4.88,1,1,0,1,0,0,0,1,5,1,0,0
"Jerez, Eric",DEF,Vélez Sarsfield,800,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,17,5.67,0,0,0,0,0,0,0,1,0,0,0,0
"Pellerano, Hernán",DEF,Vélez Sarsfield,3500000,8,5,12,3,3,4,2,5,0,0,3,6,6,8,3,11,55,5,13,68,5.23,0,0,0,0,0,0,1,3,5,0,0,0
"Pérez Acuña, Matías",DEF,Vélez Sarsfield,2200000,0,0,0,0,0,0,0,0,0,0,0,0,3,5,-1,3,7,2.33,3,7,2.33,0,0,0,0,0,0,0,1,2,1,0,0
"Asad, Yamil",VOL,Vélez Sarsfield,2100000,6,0,6,4,5,0,0,0,0,3,5,3,13,5,5,9,49,5.44,10,55,5.5,2,2,0,1,0,0,0,0,3,0,0,0
"Cabral, Ariel",VOL,Vélez Sarsfield,3500000,4,11,6,5,4,4,5,0,0,0,0,0,0,0,0,5,24,4.8,7,39,5.57,1,1,0,0,0,0,0,0,0,0,0,0
"Chacón, Iván",VOL,Vélez Sarsfield,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Compagnucci, Lucio",VOL,Vélez Sarsfield,1100000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Correa, Jorge",VOL,Vélez Sarsfield,900,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,10,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0
"Delgadillo, Nicolás",VOL,Vélez Sarsfield,300,0,0,0,0,0,0,0,0,0,0,6,5,6,7,4,5,28,5.6,5,28,5.6,0,0,0,0,0,0,0,0,0,0,0,0
"Desábato, Leandro Luis",VOL,Vélez Sarsfield,2100000,0,0,5,0,0,0,4,4,6,5,0,4,5,5,4,9,42,4.67,9,42,4.67,0,0,0,0,0,0,0,0,2,0,0,0
"Doffo, Agustín",VOL,Vélez Sarsfield,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Ferreira, Brian",VOL,Vélez Sarsfield,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferreyra, Germán",VOL,Vélez Sarsfield,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flores, Tiago",VOL,Vélez Sarsfield,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martelli, Sebastián",VOL,Vélez Sarsfield,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rolón, Leonardo",VOL,Vélez Sarsfield,1800000,6,6,5,4,5,4,4,5,4,4,4,0,0,0,0,9,39,4.33,11,51,4.64,0,0,0,0,0,0,0,0,1,0,0,0
"Romero, Lucas",VOL,Vélez Sarsfield,3500000,6,5,3,5,4,3,0,0,0,0,0,0,6,4,5,8,30,3.75,10,41,4.1,0,0,0,0,0,0,0,0,3,1,0,0
"Somoza, Leandro",VOL,Vélez Sarsfield,4000000,0,6,6,4,3,5,5,5,7,5,5,0,0,0,6,10,51,5.1,11,57,5.18,0,0,0,0,0,0,0,0,1,0,0,0
